Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",2.743200,44.677800,90.000000,bottom
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.526400,62.737200,180.000000,top
"C2","DNI","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",80.187800,58.165200,180.000000,top
"C3","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.526400,59.841600,180.000000,top
"C4","DNI","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",91.008200,52.018400,270.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.551800,56.996800,180.000000,top
"C6","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.173800,52.069200,90.000000,top
"C7","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.551800,54.075800,180.000000,top
"C8","47nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.582800,22.021000,0.000000,top
"C9","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.577200,51.281800,180.000000,top
"C10","47nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",13.639800,22.478200,0.000000,top
"C11","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.897600,19.481000,0.000000,top
"C12","10nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",70.027800,19.328600,0.000000,top
"C13","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",71.577200,48.437000,180.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.191000,18.566600,270.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.955000,13.969200,180.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.139400,26.720000,180.000000,top
"C17","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.470400,38.124600,270.000000,top
"C18","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.701200,44.017400,0.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.472600,21.767000,0.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",56.743600,21.970200,180.000000,top
"C21","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.419200,12.292800,90.000000,top
"C22","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.444600,25.221400,90.000000,top
"C23","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.991000,41.350400,90.000000,top
"C24","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.504800,41.223400,90.000000,top
"C25","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.218600,60.121000,90.000000,top
"C26","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.925200,59.435200,0.000000,top
"C27","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",80.797400,72.084400,90.000000,top
"C28","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.544400,55.930000,0.000000,top
